Movie Name
Samadhi
Babul
Awaara
Albela
Baazi
Jatt & Juliet 
Deedar
Jadoo
Aan
Baiju Bawra
Daag
Jaal
Anarkali
Nagin
Nastik
Taxi Driver
Uran Khatola
Shree 420
Jhanak Jhanak Payal Baje
Azaad
Ek Hi Rasta
C. I. D.
Mother India
Do Aankhen Barah Haath
Naya Daur
Pyaasa
Chalti Ka Naam Gaadi
Madhumati
Navrang
Anari
Paigham
Mughal-E-Azam
Chaudhvin Ka Chand
Dil Apna Aur Preet Parai
Kohinoor
Barsaat Ki Raat
Junglee
Ganga Jamuna
Gharana
Ek Musafir Ek Hasina
Bees Saal Baad
Mere Mehboob
Gumrah
Taj Mahal
Sangam
Rajkumar
Ayee Milan Ki Bela
Phir Wohi Dil Laya Hoon
Dosti
Kashmir Ki Kali
Ziddi
Guide
Waqt
Himalay Ki God Mein
Jab Jab Phool Khile
Arzoo
Jaanwar
Khandan
Mera Saaya
Do Badan
Love In Tokyo
Phool Aur Patthar
Suraj
Teesri Manzil
Upkar
Jewel Thief
An Evening In Paris
Shagird
Farz
Hamraaz
Milan
Ram Aur Shyam
Do Kaliyan
Aankhen
Kanyadaan
Neel Kamal
Jeene Ki Raah
Do Raaste
Ek Phool Do Mali
Prince
Aradhana
Intaquam
Jeevan Mrityu
The Train
Khilona
Safar
Pehchan
Geet
Humjoli
Bhai Bhai
Johny Mera Naam
Tum Haseen Main Jawan
Sharafat
Kab Kyon Aur Kahan
Gopi
Kaun Ho Tum
Ganwaar
Sawan Bhadon
Sachaa Jhutha
Bharat Ka Sanvidhan
Andaz
Maryada
Mera Gaon Mera Desh
Rakhwala
Purab Aur Pashcim
Naya Zamana
Mela
Guddi
Anand
Sharmilee
Aan Milo Sajna
Haathi Mere Saathi
Kal Aaj Aur Kal
Kati Patang
Main Sundar Hoon
Ek Nari Ek Brahmachari
Mehboob Ki Mehndi
Mere Apne
Caravan
Paras
Victoria No. 203
Raja Jani
Do Chor
Bombay To Goa
Pakeezah
Balidaan
Shararat
Samadhi
Shor
Mere Jeevan Saathi
Dushmun
Dastaan
Jawani Diwani
Apna Desh
Beimaan
Amar Prem
Apradh
Rampur Ka Laxman
Seeta Aur Geeta
Shehzada
Hare Rama Hare Krishna
Gora Aur Kala
Bhai Ho To Aisa
Anuraag
Namak Haraam
Aa Gale Lag Jaa
Yaadon Ki Baaraat
Saudagar
Joshila
Bobby
Anhonee
Jugnu
Abhimaan
Zanjeer
Dharma
Pinjra
Daag
Jheel Ke Us Paar
Black Mail
Heera
Kuchhe Dhaage
Kahani Kismat Ki
Keemat
Loafer
Jaise Ko Taisa
Majboor
Roti
Roti Kapada Aur Makaan
Benaam
Haath Ki Safai
Kasauti
Amir Garib
Sagina
Prem Nagar
Aap Ki Kasam
Dost
Chor Machaye Shor
Pocket Maar
Patthar Aur Payal
Bidaai
Manchali
Pran Jaye Par Vachan Na Jaye
Resham Ki Dori
Geeta Mera Naam
Ajnabee
Dharam Karam
Warrant
Sanyasi
Rafoo Chakkar
Kala Sona
Sholay
Pratiggya
Umar Qaid
Jai Santoshi Maa
Chori Mera Kaam
Julie
Zameer
Deewaar
Prem Kahani
Do Thug
Chupke Chupke
Khel Khel Mein
Dharmatma
Zakhmee
Bairaag
Hera Pheri
Fakira
Charas
Dus Numbri
Kalicharan
Kabhi Kabhie
Chhoti Si Baat
Jaaneman
Shankar Dada
Maha Chor
Chitchor
Aap Beeti
Barood
Sangram
Do Anjane
Laila Majnu
Maa
Mehbooba
Nagin
Nehle Pe Dehla
Parvarish
Hum Kisise Kum Naheen
Amar Akbar Anthony
Chandi Sona
Khoon Pasina
Jadu Tona
Inkaar
Chhailla Babu
Adalat
Immaan Dharam
Apnapan
Chacha Bhatija
Khel Khilari Ka
Dulhan Wohi Jo Piya Man Bhaye
Dream Girl
Dildaar
Chakkar Pe Chakkar
Aashiq Hoon Baharon Ka
Dharam Veer
Maha Badmaash
Daku Aur Jawan
Swarg Narak
Karmayogi
Muqaddar Ka Sikandar
Dil Aur Deewar
Azaad
Shalimar
Satyam Shivam Sundaram
Main Tulsi Tere Aangan Ki
Muqaddar
Des Pardes
Don
Trishul
Kasme Vaade
Ganga Ki Saugandh
Vishwanath
Khoon Ki Pukar
Be-Sharam
Phandebaaz
Pati Patni Aur Woh
Ahinsa
Hum Tere Ashiq Hain
Suhaag
Dil Ka Heera
Lahu Ke Do Rang
Nalayak
Kaala Patthar
Duniya Meri Jeb Mein
Sargam
Khandaan
Guru Ho Jaa Shuru
Suraksha
Mr. Natwarlal
Jaani Dushman
Amar Deep
Kartavya
The Great Gambler
Gautam Govinda
Muqabla
Dada
Noorie
Shaan
Ram Balram
Insaaf Ka Tarazu
Maang Bharo Sajna
Saboot
Nishana
Dostana
Abdullah
Judaai
Beraham
Unnes Bees
Sau Din Saas Ke
Karz
Qurbani
Thodi Si Bewafai
Jyoti Bane Jwala
Alibaba Aur 40 Chor
Choron Ki Baaraat
Swayamvar
Takkar
The Burning Train
Aasha
Chunaoti
Khubsoorat
Do Aur Do Paanch
Kaalia
Meri Awaaz Suno
Fifty Fifty
Maan Gaye Ustaad
Yaarana
Ek Hi Bhool
Khuda Kasam
Katilon Ka Katil
Hum Se Badhkar Kaun
Ek Duuje Ke Liye
Professor Pyarelal
Laawaris
Jyoti
Rocky
Wardat
Khoon Aur Paani
Kudrat
Krodhi
Love Story
Barsat Ki Ek Raat
Kranti
Bulandi
Waqt Ki Deewar
Hum Paanch
Naseeb
Disco Dancer
Samraat
